timestamp,tweet,username
Mon Oct 29 06:54:45 +0000 2018,"Dibuka crisis center di Bandara Soekarno Hatta, Bandara Depati Amir Pangkalpinang, dan Tanjung Karawang untuk kecel… https://t.co/tyKcZqhUO0",KTavisha
Mon Oct 29 06:54:45 +0000 2018,"RT @AnitaWahid: KOK TEGA SIH MUSIBAH KECELAKAAN PESAWAT DIJADIKAN KOMODITAS POLITIK? 😡😡😡

APA PILPRES ITU SEGALANYA BUAT KALIAN, DAN KALO G…",aull_udell
Mon Oct 29 06:54:44 +0000 2018,"RT @AnitaWahid: KOK TEGA SIH MUSIBAH KECELAKAAN PESAWAT DIJADIKAN KOMODITAS POLITIK? 😡😡😡

APA PILPRES ITU SEGALANYA BUAT KALIAN, DAN KALO G…",muzod
Mon Oct 29 06:54:43 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,deviambar12
Mon Oct 29 06:54:41 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,kunantaw
Mon Oct 29 06:54:41 +0000 2018,"RT @Yusrilihza_Mhd: Dukacita yang mendalam atas musibah jatuhnya Pesawat Lion Air penerbangan Jakarta - Pangkal Pinang, Bangka, pagi ini. S…",rustam_moslem
Mon Oct 29 06:54:40 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,Sarang_Wallet
Mon Oct 29 06:54:40 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,RendyImammuddin
Mon Oct 29 06:54:40 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,nabilamukhlis
Mon Oct 29 06:54:39 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,nrdatkh
Mon Oct 29 06:54:37 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,Nai_aulya
Mon Oct 29 06:54:35 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,BagasChrzmy
Mon Oct 29 06:54:34 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,M_Yuzuf96
Mon Oct 29 06:54:32 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,EvaGiriOktavian
Mon Oct 29 06:54:32 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,zntftmh
Mon Oct 29 06:54:31 +0000 2018,"RT @infoBMKG: Turut berduka cita atas musibah kecelakaan pesawat #LionAir #JT610.
Mari kita berikan doa terbaik untuk para korban, dan semo…",Rewindaa_
Mon Oct 29 06:54:31 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,winneocent
Mon Oct 29 06:54:31 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,anisaasj
Mon Oct 29 06:54:30 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,heyowassupman
Mon Oct 29 06:54:30 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,matrhoshyka
Mon Oct 29 06:54:29 +0000 2018,"RT @petrichoryan: Selama orang sakit obatnya masih disuruh berdoa, maka selama itu juga tiap ada bencana alam/kecelakaan maka diresepkan un…",ObiWan_Catnobi
Mon Oct 29 06:54:29 +0000 2018,RT @detikcom: Lion Air #JT610 jatuh. Peristiwa ini menjadi perhatian publik. Kejadian ini merupakan kecelakaan besar yang dialami Lion Air.…,syhfitri13
Mon Oct 29 06:54:29 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,putrifauziahz
Mon Oct 29 06:54:28 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,agstnawardahh
Mon Oct 29 06:54:28 +0000 2018,"Dibuka crisis center di Bandara Soekarno Hatta, Bandara Depati Amir Pangkalpinang, dan Tanjung Karawang untuk kecel… https://t.co/HCGGt4MXq8",IlyasMjk
Mon Oct 29 06:54:28 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,IndraNyami
Mon Oct 29 06:54:27 +0000 2018,"RT @KompasTV: [VIDEO] Tertinggal Pesawat, Penumpang Ini Selamat dari Kecelakaan https://t.co/QjPce5N9Qs https://t.co/DeXS5xJ5N7",DenySurya99
Mon Oct 29 06:54:27 +0000 2018,RT @detikcom: Lion Air #JT610 jatuh. Peristiwa ini menjadi perhatian publik. Kejadian ini merupakan kecelakaan besar yang dialami Lion Air.…,hi_danti
Mon Oct 29 06:54:26 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,vernoniesm
Mon Oct 29 06:54:25 +0000 2018,"RT @infoBMKG: Turut berduka cita atas musibah kecelakaan pesawat #LionAir #JT610.
Mari kita berikan doa terbaik untuk para korban, dan semo…",wiesyaanandya
Mon Oct 29 06:54:25 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,waipeuwo
Mon Oct 29 06:54:23 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,arcadeean
Mon Oct 29 06:54:23 +0000 2018,"Dibuka crisis center di Bandara Soekarno Hatta, Bandara Depati Amir Pangkalpinang, dan Tanjung Karawang untuk kecel… https://t.co/QpsH1Wo2Wn",KenAngel16
Mon Oct 29 06:54:23 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,cidut_
Mon Oct 29 06:54:22 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,lianharf
Mon Oct 29 06:54:21 +0000 2018,"RT @SurYosodipuro_: Innalillahi wa innailaihi rojiun...
Semoga korban yg wafat dlm kecelakaan ini husnul khotimah, dan keluarga yg ditingga…",luviku
Mon Oct 29 06:54:21 +0000 2018,RT @anangdianto: Ya tuhan setiap denger kabar kecelakaan pesawat adalah bayangan semua penumpang berpakaian rapi dan wangi. Tetapi jarak hi…,punyaguanlin
Mon Oct 29 06:54:21 +0000 2018,"Dibuka crisis center di Bandara Soekarno Hatta, Bandara Depati Amir Pangkalpinang, dan Tanjung Karawang untuk kecel… https://t.co/WWnDuCQqwv",Luqmanoneday
Mon Oct 29 06:54:20 +0000 2018,RT @anangdianto: Ya tuhan setiap denger kabar kecelakaan pesawat adalah bayangan semua penumpang berpakaian rapi dan wangi. Tetapi jarak hi…,wonhoeseleraku
Mon Oct 29 06:54:20 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,fieraavr
Mon Oct 29 06:54:19 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,_miaardiani
Mon Oct 29 06:54:18 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,myindestructibl
Mon Oct 29 06:54:18 +0000 2018,What a terrible news. Turut berduka cita atas kecelakaan yg menimpa pesawat Lion Air JT-610 rute Jakarta ke Pangkal… https://t.co/sRVzQkBq7z,shintiyadevii
Mon Oct 29 06:54:16 +0000 2018,"Tertinggal Pesawat, Penumpang Ini Selamat dari Kecelakaan https://t.co/UlD5pThWnN",Davidsepuluh
Mon Oct 29 06:54:16 +0000 2018,"RT @infoBMKG: Turut berduka cita atas musibah kecelakaan pesawat #LionAir #JT610.
Mari kita berikan doa terbaik untuk para korban, dan semo…",msaidramadhan
Mon Oct 29 06:54:14 +0000 2018,"Dibuka crisis center di Bandara Soekarno Hatta, Bandara Depati Amir Pangkalpinang, dan Tanjung Karawang untuk kecel… https://t.co/4QwPhqxXS5",TangoTequila6
Mon Oct 29 06:54:13 +0000 2018,"Dibuka crisis center di Bandara Soekarno Hatta, Bandara Depati Amir Pangkalpinang, dan Tanjung Karawang untuk kecel… https://t.co/gfE3XxHYki",ArfinMaldini
Mon Oct 29 06:54:12 +0000 2018,"Media luar kalo ada kecelakaan : cari tahu penyebab teknisnya, jumlah korban dll

Detikcom : cari instagram korban,… https://t.co/mcsTlvqUzI",erickmanurung
Mon Oct 29 06:54:11 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,harsono_afen
Mon Oct 29 06:54:11 +0000 2018,RT @bappedajabar: Turut berduka cita atas musibah kecelakaan pesawat Lion Air JT610 rute Jakarta-Pangkal Pinang yg jatuh di perairan Tanjun…,bp2djabar
Mon Oct 29 06:54:10 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,yotam_Cchristm
Mon Oct 29 06:54:09 +0000 2018,"RT @ArifPut80504395: Dibuka crisis center di Bandara Soekarno Hatta, Bandara Depati Amir Pangkalpinang, dan Tanjung Karawang untuk kecelaka…",wulaidaz
Mon Oct 29 06:54:09 +0000 2018,"@PBB2019 Turut belasungkawa atas korban kecelakaan pesawat LionAir, Vivian Afifah, puteri Ibu Neuis Caleg DPRRI PAR… https://t.co/CBtX4jNnPX",ZakyRobyCahyad1
Mon Oct 29 06:54:08 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,vicksbr
Mon Oct 29 06:54:08 +0000 2018,"RT @Yusrilihza_Mhd: Dukacita yang mendalam atas musibah jatuhnya Pesawat Lion Air penerbangan Jakarta - Pangkal Pinang, Bangka, pagi ini. S…",ar13zk4
Mon Oct 29 06:54:06 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,asafiraputri
Mon Oct 29 06:54:06 +0000 2018,"RT @infoBMKG: Turut berduka cita atas musibah kecelakaan pesawat #LionAir #JT610.
Mari kita berikan doa terbaik untuk para korban, dan semo…",prillyeee
Mon Oct 29 06:54:04 +0000 2018,Sebenarnya seberapa mungkin sih seseorang bisa selamat dari kecelakaan pesawat? Ada beberapa riset terkait hal ini. https://t.co/5MCaBK0Qie,kumparan
Mon Oct 29 06:54:04 +0000 2018,"Dibuka crisis center di Bandara Soekarno Hatta, Bandara Depati Amir Pangkalpinang, dan Tanjung Karawang untuk kecel… https://t.co/cXATQyYrAh",AndriantoBobby
Mon Oct 29 06:54:04 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,pibsmoqz
Mon Oct 29 06:54:04 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,erlistagita
Mon Oct 29 06:54:04 +0000 2018,"RT @infoBMKG: Turut berduka cita atas musibah kecelakaan pesawat #LionAir #JT610.
Mari kita berikan doa terbaik untuk para korban, dan semo…",Adhiyadlr
Mon Oct 29 06:54:03 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,KyungsooRekha
Mon Oct 29 06:54:03 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,fauzanim
Mon Oct 29 06:54:02 +0000 2018,"RT @sandiuno: Turut berduka atas jatuhnya pesawat Lion Air JT-610, Jakarta menuju Pangkal Pinang. Mari kita kirimkan doa untuk para korban…",LeaAccu
Mon Oct 29 06:54:00 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,yarinajesih
Mon Oct 29 06:54:00 +0000 2018,RT @anangdianto: Ya tuhan setiap denger kabar kecelakaan pesawat adalah bayangan semua penumpang berpakaian rapi dan wangi. Tetapi jarak hi…,majesticgyu
Mon Oct 29 06:53:59 +0000 2018,RT @SPARTANx1976: Kami juga segenap keluarga @SPARTANx1976  mengucapkan turut berduka cita atas kecelakaan yang menimpa pesawat Lion air JT…,M_IrvanHN
Mon Oct 29 06:53:58 +0000 2018,"RT @Yusrilihza_Mhd: Dukacita yang mendalam atas musibah jatuhnya Pesawat Lion Air penerbangan Jakarta - Pangkal Pinang, Bangka, pagi ini. S…",IbnuSholh
Mon Oct 29 06:53:54 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,urfckngurl
Mon Oct 29 06:53:53 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,FauzaanAtmaja
Mon Oct 29 06:53:52 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,shipwreckedeva
Mon Oct 29 06:53:51 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,Winkdeepnoona
Mon Oct 29 06:53:51 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,cannotihave
Mon Oct 29 06:53:51 +0000 2018,RT @anangdianto: Ya tuhan setiap denger kabar kecelakaan pesawat adalah bayangan semua penumpang berpakaian rapi dan wangi. Tetapi jarak hi…,chrryjae
Mon Oct 29 06:53:49 +0000 2018,RT @anangdianto: Ya tuhan setiap denger kabar kecelakaan pesawat adalah bayangan semua penumpang berpakaian rapi dan wangi. Tetapi jarak hi…,Annisacindy_f
Mon Oct 29 06:53:48 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,Inta1212
Mon Oct 29 06:53:48 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,aiiayii
Mon Oct 29 06:53:48 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,verinaapriani
Mon Oct 29 06:53:47 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,tatapw
Mon Oct 29 06:53:47 +0000 2018,Turut berduka untuk semua mangsa dalam kecelakaan Lion Air #JT610 Jakarta - Pangkal Pinang. Semoga mereka semua diterima disisi Tuhan.,Areloghy
Mon Oct 29 06:53:46 +0000 2018,"#Repost @gendhis_cokelat_indonesia (@get_repost)
・・・
Turut berduka atas kecelakaan pesawat LionAir hari ini mari ki… https://t.co/8rRXL23WMg",hendartorizky
Mon Oct 29 06:53:46 +0000 2018,RT @anangdianto: Ya tuhan setiap denger kabar kecelakaan pesawat adalah bayangan semua penumpang berpakaian rapi dan wangi. Tetapi jarak hi…,sun4heart_
Mon Oct 29 06:53:44 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,dhimazpph
Mon Oct 29 06:53:41 +0000 2018,"Semoga segera ada titik terang perihal kecelakaan pesawat #JT610 🙏
Semoga semua kru pesawat dan penumpang segera di ketemukan 🙏",CallmeSha_
Mon Oct 29 06:53:41 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,_Mhdyasan
Mon Oct 29 06:53:40 +0000 2018,RT @anangdianto: Ya tuhan setiap denger kabar kecelakaan pesawat adalah bayangan semua penumpang berpakaian rapi dan wangi. Tetapi jarak hi…,_kareneu
Mon Oct 29 06:53:40 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,FhitryAhsan
Mon Oct 29 06:53:39 +0000 2018,"Dibuka crisis center di Bandara Soekarno Hatta, Bandara Depati Amir Pangkalpinang, dan Tanjung Karawang untuk kecel… https://t.co/kx6o2MMKLC",SPriaji
Mon Oct 29 06:53:39 +0000 2018,"RT @infoBMKG: Turut berduka cita atas musibah kecelakaan pesawat #LionAir #JT610.
Mari kita berikan doa terbaik untuk para korban, dan semo…",ryantomb
Mon Oct 29 06:53:39 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,m21dnii
Mon Oct 29 06:53:35 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,AmiiBR
Mon Oct 29 06:53:32 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,aeriszen
Mon Oct 29 06:53:32 +0000 2018,"Dibuka crisis center di Bandara Soekarno Hatta, Bandara Depati Amir Pangkalpinang, dan Tanjung Karawang untuk kecel… https://t.co/T12iXBxNg5",31Keceng
Mon Oct 29 06:53:32 +0000 2018,RT @anangdianto: Ya tuhan setiap denger kabar kecelakaan pesawat adalah bayangan semua penumpang berpakaian rapi dan wangi. Tetapi jarak hi…,A_S_Kartika
Mon Oct 29 06:53:31 +0000 2018,RT @panditfootball: Leicester City konfirmasi bahwa ada 5 korban meninggal dalam kecelakaan helikopter dekat stadion pasca melawan West Ham…,DzkrN
Mon Oct 29 06:53:31 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,CutSherin
Mon Oct 29 06:53:30 +0000 2018,"Turut belasungkawa atas korban kecelakaan pesawat LionAir, Vivian Afifah, puteri Ibu Neuis Caleg DPRRI PARTAI BULAN… https://t.co/FqGuPFzPAS",ZakyRobyCahyad1
Mon Oct 29 06:53:29 +0000 2018,"RT @infoBMKG: Turut berduka cita atas musibah kecelakaan pesawat #LionAir #JT610.
Mari kita berikan doa terbaik untuk para korban, dan semo…",taesthethick_V
Mon Oct 29 06:53:29 +0000 2018,RT @akuratco: Menyebarkan foto-foto korban bukan pilhan yang bijak jika kamu ingin ikut menyebarkan kabar duka sebuah kecelakaan. Cukup uca…,kangenten
